,Screen Name,Tweet,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
44,BBCWorld,"Chocolate, cherries and Craig David https://t.co/ieqwqjtREN",Sat Mar 31 07:31:06 +0000 2018,0.0,0.0,0.0,1.0,45
45,BBCWorld,The graveyard of VW cars... ⚰️ https://t.co/EE9Kw1y1xP,Sat Mar 31 07:26:42 +0000 2018,-0.296,0.0,0.268,0.732,46
46,BBCWorld,Malala returns to home town in Pakistan https://t.co/gPp8uHZInn,Sat Mar 31 05:43:43 +0000 2018,0.0,0.0,0.0,1.0,47
47,BBCWorld,Australia ball-tampering: David Warner's tearful apology https://t.co/uHjhDMGR4U,Sat Mar 31 05:34:20 +0000 2018,0.0516,0.167,0.0,0.833,48
48,BBCWorld,Gaza-Israel border: UN seeks investigation over protest deaths https://t.co/slJ8bJ1KcX,Sat Mar 31 04:14:12 +0000 2018,-0.25,0.0,0.2,0.8,49
49,BBCWorld,Avatar: Scientology-style sect causes concern in Netherlands https://t.co/hGKfvz5aKk,Sat Mar 31 03:55:06 +0000 2018,0.0,0.0,0.0,1.0,50
50,BBCWorld,Sierra Leone votes in run-off between Maada Bio and Kamara https://t.co/6h2urangUI,Sat Mar 31 03:40:41 +0000 2018,0.0,0.0,0.0,1.0,51
51,BBCWorld,US may tie social media to visa applications https://t.co/T1ZkMcEGVs,Sat Mar 31 02:12:09 +0000 2018,0.0,0.0,0.0,1.0,52
52,BBCWorld,Spring in Tashkent: Is Uzbekistan really opening up? https://t.co/b2DaiL0v6F,Sat Mar 31 01:44:15 +0000 2018,0.0,0.0,0.0,1.0,53
53,BBCWorld,Lake Chad: Can the vanishing lake be saved? https://t.co/30w1kByrbV,Sat Mar 31 01:22:22 +0000 2018,0.4215,0.259,0.0,0.741,54
54,BBCWorld,In pictures: The churches of Lalibela in Ethiopia https://t.co/9GlKDomFOo,Sat Mar 31 00:38:37 +0000 2018,0.0,0.0,0.0,1.0,55
55,BBCWorld,Breaking the period taboo in Pakistan https://t.co/zYqf0Us2fI,Fri Mar 30 23:56:50 +0000 2018,0.0,0.0,0.0,1.0,56
56,BBCWorld,The men who had millions of lives in their hands https://t.co/bCDHwa18TE,Fri Mar 30 23:51:49 +0000 2018,0.0,0.0,0.0,1.0,57
57,BBCWorld,"Costa Rica polls: 'People hate us, we might move to Spain' https://t.co/Irr88AL04W",Fri Mar 30 23:49:19 +0000 2018,-0.5719,0.0,0.252,0.748,58
58,BBCWorld,The country where children fear election time https://t.co/Ns92Bo3Oq2,Fri Mar 30 23:29:22 +0000 2018,-0.4939,0.0,0.314,0.686,59
59,BBCWorld,Week in pictures: 24 - 30 March 2018 https://t.co/iS4Cvu0Am0,Fri Mar 30 23:24:44 +0000 2018,0.0,0.0,0.0,1.0,60
60,BBCWorld,"Prince Laurent: €46,000 blow for Belgium's 'cursed prince' https://t.co/FauI5N9jNo",Fri Mar 30 23:07:50 +0000 2018,0.0,0.0,0.0,1.0,61
61,BBCWorld,North Korea sanctions: UN blacklists shipping firms https://t.co/URRJ9FYvSX,Fri Mar 30 22:01:24 +0000 2018,0.0,0.0,0.0,1.0,62
62,BBCWorld,Iowa man wins legal battle to say hometown stinks https://t.co/L0Yxag5UGd,Fri Mar 30 21:43:33 +0000 2018,0.1531,0.329,0.291,0.38,63
63,BBCWorld,Mauritania court gives toughest sentence for slave owners https://t.co/JgcmnJy1DV,Fri Mar 30 19:15:36 +0000 2018,0.0,0.135,0.135,0.729,64
64,BBCWorld,Police shot unarmed US man '7 times in back' https://t.co/XhBhOwZfw6,Fri Mar 30 18:48:07 +0000 2018,0.0,0.0,0.0,1.0,65
65,BBCWorld,Schwarzenegger has heart surgery https://t.co/7q1nkfhBuK,Fri Mar 30 17:32:08 +0000 2018,0.0,0.0,0.0,1.0,66
66,BBCWorld,Ronaldo statue: Sculptor Emanuel Santos takes another shot at bust https://t.co/uJ7u1IS5uN,Fri Mar 30 17:19:55 +0000 2018,0.0,0.0,0.0,1.0,67
67,BBCWorld,Texas woman jailed for five years for 'accidental' voter fraud https://t.co/x0oGoCCEED,Fri Mar 30 17:05:13 +0000 2018,-0.7906,0.0,0.438,0.562,68
68,BBCWorld,Parkland student David Hogg rejects Fox News host's apology https://t.co/bt9Eu2uCbB,Fri Mar 30 16:48:14 +0000 2018,-0.4588,0.097,0.258,0.645,69
69,BBCWorld,Kosovo security chiefs sacked after six Turks deported https://t.co/ECtnW0DivL,Fri Mar 30 16:46:04 +0000 2018,0.34,0.231,0.0,0.769,70
70,BBCWorld,Noor Salman: Pulse nightclub shooter's widow not guilty https://t.co/afpEyQwyDJ,Fri Mar 30 14:35:32 +0000 2018,0.3252,0.226,0.0,0.774,71
71,BBCWorld,Vatican: Pope did not say there is no hell https://t.co/k9htWRJoNF,Fri Mar 30 13:43:56 +0000 2018,-0.7783,0.0,0.459,0.541,72
72,BBCWorld,Scammers impersonate French first lady Brigitte Macron https://t.co/SE4Wy6tWPB,Fri Mar 30 13:41:07 +0000 2018,0.0,0.0,0.0,1.0,73
